Currency,Rate
AED,4.245863
AFN,104.042973
ALL,121.324078
AMD,564.010325
ANG,2.07114
AOA,692.165473
ARS,114.341218
AUD,1.586562
AWG,2.081322
AZN,1.9675500000000001
BAM,1.956074
BBD,2.32977
BDT,99.088955
BGN,1.958411
BHD,0.435813
BIF,2293.786008
BMD,1.155969
BND,1.571796
BOB,7.967493
BRL,6.349856
BSD,1.153834
BTC,2.1422706e-05
BTN,86.573395
BWP,13.104721
BYN,2.881209
BYR,22656.995058
BZD,2.3258900000000002
CAD,1.454284
CDF,2316.561885
CHF,1.071034
CLF,0.034066
CLP,939.987999
CNY,7.452188
COP,4374.418403
CRC,722.28006
CUC,1.155969
CUP,30.633182
CVE,110.27875
CZK,25.404739
DJF,205.413836
DKK,7.439932
DOP,64.905093
DZD,159.056701
EGP,18.149528
ERN,17.345264
ETB,53.442264
EUR,1.0
FJD,2.424995
FKP,0.8351649999999999
GBP,0.850741
GEL,3.635504
GGP,0.8351649999999999
GHS,6.991872
GIP,0.8351649999999999
GMD,59.651024
GNF,11258.206373
GTQ,8.931014
GYD,241.410101
HKD,8.998827
HNL,27.799466
HRK,7.515649
HTG,113.656172
HUF,358.020998
IDR,16387.24966
ILS,3.732023
IMP,0.8351649999999999
INR,86.413606
IQD,1684.660057
IRR,48770.338014
ISK,148.796677
JEP,0.835164
JMD,170.773293
JOD,0.819619
JPY,128.81771
KES,127.968618
KGS,98.04378
KHR,4707.787005
KMF,493.165336
KPW,1040.372239
KRW,1376.239036
KWD,0.348637
KYD,0.96162
KZT,490.681182
LAK,11593.844728
LBP,1766.136921
LKR,230.501296
LRD,197.205868
LSL,17.431854
LTL,3.413277
LVL,0.699234
LYD,5.25281
MAD,10.481207
MDL,20.163391
MGA,4561.3082
MKD,61.63182
MMK,2266.189363
MNT,3282.071249
MOP,9.254454
MRO,412.680783
MUR,49.121823
MVR,17.85947
MWK,940.992471
MXN,23.740835
MYR,4.835996
MZN,73.785891
NAD,17.43167
NGN,476.54851
NIO,40.611064
NOK,9.951611
NPR,138.517271
NZD,1.669508
OMR,0.44439199999999995
PAB,1.153944
PEN,4.783428
PGK,4.070708
PHP,58.19784
PKR,197.496978
PLN,4.543886
PYG,7982.695347
QAR,4.208865
RON,4.948011
RSD,117.619666
RUB,83.396248
RWF,1173.236289
SAR,4.335715
SBD,9.311106
SCR,14.835395
SDG,509.782091
SEK,10.15749
SGD,1.5701239999999999
SHP,1.592235
SLL,12247.492543
SOS,676.241973
SRD,24.74178
STD,23926.227215
SVC,10.097259
SYP,1453.559771
SZL,17.465427
THB,39.06028
TJS,13.061829
TMT,4.045892
TND,3.278906
TOP,2.622772
TRY,10.26363
TTD,7.830576
TWD,32.338815
TZS,2663.353164
UAH,30.375425
UGX,4113.512906
USD,1.155969
UYU,49.628188
UZS,12332.677738
VEF,247181137286.4467
VND,26309.857527
VUV,129.042837
WST,2.95965
XAF,656.033124
XAG,0.050890000000000005
XAU,0.000656
XCD,3.124064
XDR,0.8167949999999999
XOF,656.033124
XPF,119.866178
YER,289.397247
ZAR,17.247175
ZMK,10405.111071
ZMW,19.656251
ZWL,372.22159
